id;street_address;postal_code;city;state_province
1;readies pulse;uniform beside duffel;Fort Geoffreyfurt;where
2;search adventurously although;oh practical;Schmittport;opposite er
3;damaged mill after;guide astride sheepishly;West Guido;considering regularly
4;so consequently yahoo;usually majestic spattering;East Marty;rigidly
5;honestly unearth vice;sympathetically frizz;Spinkaboro;amid kettledrum exploration
6;provided;censor over;North Maximeland;yum
7;like;blond;Spencerport;a regarding lest
8;gadzooks beneath;list;West Ole;grandiose wholly
9;meaningfully denitrify;yowza free separately;Kaseytown;what self-reliant unzip
10;swat;descendant once gosh;Port Sage;anxiously gulp huddle
